fecha,base_monetaria,brecha_usd,cer,inflacion,leliq,reservas,tasa_depositos_30_dias,tasa_pase_pasivas_1_dia,usd_general,usd_minorista,usd_oficial,uva
2010-10-31,142075.1052631579,1.691957894736842,2.580183870967742,0.8,,51608.57894736842,9.32684210526316,9.0,4.024125,3.987368421052632,3.9584210526315786,
2010-11-30,145338.04761904763,1.8932999999999998,2.599893333333333,0.7,,52216.666666666664,9.383809523809523,9.0,4.042261904761905,3.9961904761904763,3.967142857142857,
2010-12-31,155886.2,2.287595,2.620751612903226,0.8,,52137.9,9.566500000000001,9.0,4.069,4.0104999999999995,3.978,
2011-01-31,162963.0,3.890685714285714,2.6408870967741938,0.7,,52374.52380952381,9.534285714285714,9.0,4.135833333333333,4.014285714285714,3.9809523809523806,
2011-02-28,162469.7,3.13913,2.662064285714286,0.7,,52434.45,9.314,9.0,4.14775,4.0525,4.0215,
2011-03-31,164307.63157894736,2.8193105263157894,2.6815193548387097,0.8,,52189.89473684211,9.301578947368421,9.0,4.150657894736842,4.066315789473684,4.036842105263158,
2011-04-30,167793.15789473685,3.51601052631579,2.702246666666667,0.8,,51641.57894736842,9.470526315789474,9.0,4.207763157894737,4.095789473684211,4.064736842105264,
2011-05-31,171579.33333333334,5.3240380952380955,2.724909677419355,0.7,,51982.90476190476,9.741428571428571,9.0,4.302261904761904,4.1223809523809525,4.084761904761905,
2011-06-30,176953.61904761905,4.675138095238095,2.7467933333333336,0.7,,52079.666666666664,9.692380952380953,9.0,4.286190476190477,4.134285714285714,4.094761904761905,
2011-07-31,186289.19047619047,4.1003,2.766829032258064,0.8,,51850.47619047619,9.827142857142857,9.0,4.296904761904762,4.164285714285715,4.1276190476190475,
2011-08-31,189070.4090909091,4.696968181818182,2.7873516129032256,0.8,,50465.40909090909,10.303636363636365,9.0,4.365,4.203181818181818,4.169090909090909,
2011-09-30,190643.9090909091,5.602922727272728,2.80984,0.8,,49380.63636363636,10.218181818181819,9.0,4.4381818181818184,4.250454545454546,4.202727272727273,
2011-10-31,191981.8,5.17132,2.8332451612903227,0.6,,48001.35,12.913,9.0,4.440375,4.264,4.2219999999999995,
2011-11-30,196006.57142857142,12.244338095238096,2.855,0.6,,46492.71428571428,14.619523809523809,9.0,4.781666666666667,4.300476190476191,4.26,
2011-12-31,210825.7894736842,9.855905555555557,2.8727129032258065,0.8,,45914.73684210526,14.736842105263158,9.0,4.709722222222222,4.325263157894737,4.287894736842105,
2012-01-31,220489.66666666666,11.29585238095238,2.8921225806451614,0.9,,46557.42857142857,13.213809523809525,9.0,4.809047619047619,4.355238095238095,4.320952380952381,
2012-02-29,208812.44444444444,9.19615,2.9170344827586203,0.7,,46795.666666666664,12.515555555555556,9.0,4.746944444444445,4.382222222222222,4.347222222222222,
2012-03-31,216259.72727272726,10.08865,2.9418774193548387,0.9,,47177.77272727273,12.076363636363636,9.0,4.796590909090909,4.399090909090909,4.3568181818181815,
2012-04-30,220425.70588235295,13.4611,2.9656233333333333,0.8,,47468.23529411765,11.65529411764706,9.0,4.989117647058824,4.4411764705882355,4.397058823529412,
2012-05-31,223677.61904761905,23.609809523809524,2.992251612903226,0.8,,47407.28571428572,11.322857142857142,9.0,5.501904761904761,4.494285714285714,4.45,
2012-06-30,236778.45,32.219505,3.0170033333333333,0.7,,46600.7,11.636,9.0,5.9485,4.54,4.4990000000000006,
2012-07-31,252155.7142857143,37.62931904761905,3.040574193548387,0.8,,46650.04761904762,12.01,9.0,6.266666666666667,4.594285714285714,4.5528571428571425,
2012-08-31,258124.36363636365,36.98213181818182,3.0632645161290326,0.9,,45256.63636363636,12.279545454545454,9.0,6.315,4.652272727272727,4.61,
2012-09-30,261892.68421052632,35.335184210526315,3.0885333333333334,0.9,,45228.0,11.888947368421054,9.0,6.317894736842105,4.7094736842105265,4.6684210526315795,
2012-10-31,265125.86363636365,32.73195909090909,3.1159096774193547,0.8,,45062.22727272727,13.25090909090909,9.0,6.277727272727273,4.7695454545454545,4.7295454545454545,
2012-11-30,271626.2,32.87295,3.14301,0.9,,45314.9,13.0485,9.0,6.3740000000000006,4.8345,4.797,
2012-12-31,293100.84210526315,34.090244444444444,3.170458064516129,1.0,,44273.05263157895,13.734736842105262,9.0,6.539444444444445,4.916842105263158,4.878947368421053,
2013-01-31,298198.85714285716,48.86438571428572,3.20121935483871,1.1,,42954.71428571428,13.433333333333334,9.0,7.368095238095238,4.986666666666666,4.94904761904762,
2013-02-28,292117.76470588235,54.61289411764706,3.2355535714285715,0.5,,42152.882352941175,13.104117647058825,9.0,7.747058823529411,5.04764705882353,5.010588235294118,
2013-03-31,296306.94736842107,58.982273684210526,3.265148387096774,0.7,,41230.21052631579,13.677368421052632,9.0,8.084736842105263,5.121052631578947,5.084736842105263,
2013-04-30,297258.15,68.34728,3.2841233333333335,0.7,,40035.45,13.927000000000001,9.0,8.681000000000001,5.199,5.156000000000001,
2013-05-31,301077.13636363635,77.15320454545454,3.307851612903226,0.7,,38977.045454545456,14.510454545454547,9.0,9.280454545454544,5.278636363636363,5.24,
2013-06-30,311360.6666666667,58.338877777777775,3.33152,0.8,,38264.944444444445,14.99111111111111,9.0,8.440000000000001,5.367222222222222,5.3311111111111105,
2013-07-31,323030.86363636365,55.05846363636363,3.356106451612903,0.9,,37301.63636363636,15.355454545454545,9.0,8.437272727272727,5.4790909090909095,5.440454545454545,
2013-08-31,326941.09523809527,61.56457619047619,3.3850612903225805,0.8,,36993.80952380953,15.623809523809525,9.0,9.019047619047619,5.619047619047619,5.581428571428571,
2013-09-30,329909.8095238095,63.036819047619055,3.4154,0.8,,35641.28571428572,16.111428571428572,9.0,9.352380952380953,5.794761904761905,5.736190476190476,
2013-10-31,334633.8181818182,67.5602,3.4439451612903222,0.9,,34221.22727272727,16.450454545454548,9.0,9.798181818181819,5.889545454545455,5.847272727272727,
2013-11-30,338016.7368421053,63.69319473684211,3.473253333333333,0.9,,32206.894736842107,16.245263157894737,9.0,9.8425,6.0610526315789475,6.0142105263157895,
2013-12-31,361409.6842105263,52.69898421052632,3.504567741935484,1.4,,30589.157894736843,17.548947368421054,9.0,9.65,6.367894736842105,6.319473684210526,
